term,definition
mitigation process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
mitre att&ck,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
MITRE ATT&CK analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
MITRE ATT&CK management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
MITRE ATT&CK monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
MITRE ATT&CK policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
MITRE ATT&CK process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
mobile device management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
mobile device management analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
mobile device management management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
mobile device management monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
mobile device management policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
mobile device management process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
multi-factor authentication,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
multi-factor authentication analysis,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
multi-factor authentication management,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
multi-factor authentication monitoring,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
multi-factor authentication policy,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
multi-factor authentication process,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
network segmentation,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network segmentation analysis,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network segmentation management,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network segmentation monitoring,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network segmentation policy,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network segmentation process,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network traffic analysis,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network traffic analysis analysis,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network traffic analysis management,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network traffic analysis monitoring,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network traffic analysis policy,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
network traffic analysis process,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
non-repudiation,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
non-repudiation analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
non-repudiation management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
non-repudiation monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
non-repudiation policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
non-repudiation process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
obfuscation,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
obfuscation analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
obfuscation management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
obfuscation monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
obfuscation policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
obfuscation process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
one-time pad,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
one-time pad analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
one-time pad management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
one-time pad monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
one-time pad policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
one-time pad process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
open source intelligence (osint),"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
open source intelligence (OSINT) analysis,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
open source intelligence (OSINT) management,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
open source intelligence (OSINT) monitoring,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
open source intelligence (OSINT) policy,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
open source intelligence (OSINT) process,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
orchestration,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
orchestration analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
orchestration management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
orchestration monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
orchestration policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
orchestration process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
packet capture,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
packet capture analysis,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
packet capture management,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
packet capture monitoring,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
packet capture policy,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
packet capture process,"Entity, behavior, or information concerning malicious activity that threatens systems or data; analysis includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies. includes profiling actors, mapping TTPs, and producing actionable intelligence to prioritize defenses, detect campaigns, and inform response and mitigation strategies."
packet sniffing,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
packet sniffing analysis,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
packet sniffing management,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
packet sniffing monitoring,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
packet sniffing policy,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
packet sniffing process,"Network-level mechanism, topology, or control that shapes communication flow, enforces segmentation and policies, and protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures. protects assets via monitoring, filtering, or encryption; used to prevent unauthorized access, detect anomalies, and limit lateral movement within infrastructures."
patch management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
patch management analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
patch management management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
patch management monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
patch management policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
patch management process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
payload,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
payload analysis,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
payload management,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
payload monitoring,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
payload policy,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
payload process,"Class or technique of software designed to perform unauthorized or harmful activities on systems, including propagation, data theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation. theft, sabotage, or encryption; analysis involves behavior observation, static and dynamic inspection, and identification of indicators of compromise for remediation."
penetration testing,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
penetration testing analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
penetration testing management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
penetration testing monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
penetration testing policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
penetration testing process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
permission,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
permission analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
permission management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
permission monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
