term,definition
Data Tokenization,"Data Tokenization – Replacing sensitive data with tokens (NIST SP 800-57)."
Data at Rest,"Data at Rest – Stored data, e.g., on disks (NIST SP 800-111)."
Data in Motion,"Data in Motion – Data being transmitted (NIST SP 800-52)."
Data in Use,"Data in Use – Data being processed or accessed (NIST)."
Data Warehouse Security,"Data Warehouse Security – Controls for aggregated data stores (NIST)."
Database Activity Monitoring (DAM),"Database Activity Monitoring (DAM) – Real-time monitoring of database access (NIST)."
Database Encryption,"Database Encryption – Protecting data within databases (NIST SP 800-111)."
Decentralized Finance (DeFi),"Decentralized Finance (DeFi) – Blockchain-based financial services without intermediaries (NIST IR 8276)."
Decoy Network,"Decoy Network – Honeynet for deception (NIST SP 800-83)."
Decryption Key,"Decryption Key – Key used to decrypt ciphertext (NIST SP 800-57)."
Defense-in-Depth Strategy,"Defense-in-Depth Strategy – Multi-layered security approach (NIST SP 800-53)."
Demilitarized Zone (DMZ) Configuration,"Demilitarized Zone (DMZ) Configuration – Setup of DMZ for public services (NIST SP 800-41)."
Denial-of-Service Resilience,"Denial-of-Service Resilience – Ability to maintain availability during attacks (NIST SP 800-61)."
Deprecation Policy,"Deprecation Policy – Plan for phasing out outdated technologies (NIST)."
Detection as Code,"Detection as Code – Treating detection rules as version-controlled code (SANS)."
Developer Security,"Developer Security – Secure coding practices (OWASP)."
Device Fingerprinting,"Device Fingerprinting – Identifying devices based on unique attributes (OWASP)."
Dictionary Service,"Dictionary Service – LDAP or similar for credential validation (RFC 4510)."
Differential Analysis,"Differential Analysis – Comparing data versions for changes (NIST SP 800-86)."
Digital Certificate,"Digital Certificate – Electronic document verifying identity (RFC 5280)."
Digital Forensics Framework,"Digital Forensics Framework – Structured process for evidence handling (NIST SP 800-86)."
Digital Identity,"Digital Identity – Electronic representation of a person's identity (NIST SP 800-63)."
Digital Millennium Copyright Act (DMCA),"Digital Millennium Copyright Act (DMCA) – US law on digital rights (US)."
Digital Rights,"Digital Rights – Legal protections for digital content (NIST)."
Digital Signature Standard (DSS),"Digital Signature Standard (DSS) – FIPS for digital signatures (FIPS 186)."
Digital Watermark,"Digital Watermark – Invisible mark for ownership proof (NIST)."
Directory Harvest Attack,"Directory Harvest Attack – Probing for valid emails (OWASP)."
Directory Service Security,"Directory Service Security – Protecting LDAP/AD from attacks (NIST SP 800-123)."
Disaster Recovery Testing,"Disaster Recovery Testing – Simulating failures to validate DRP (NIST SP 800-34)."
Discretionary Protection,"Discretionary Protection – User-controlled access (NIST SP 800-53)."
Distributed Ledger,"Distributed Ledger – Blockchain or similar for shared records (NIST IR 8202)."
DNS Cache Poisoning,"DNS Cache Poisoning – Injecting false DNS records (RFC 1035)."
DNS Reflection Attack,"DNS Reflection Attack – DDoS using DNS responses (US-CERT)."
DNSSEC Validation,"DNSSEC Validation – Verifying DNS responses with signatures (RFC 4033)."
Domain Controller,"Domain Controller – Server managing domain authentication (Microsoft)."
Domain Key Identified Mail (DKIM),"Domain Key Identified Mail (DKIM) – Email authentication with signatures (RFC 6376)."
Domain-based Message Authentication,"Domain-based Message Authentication – SPF, DKIM, DMARC for email (RFC 7208)."
Drive-by Pharming,"Drive-by Pharming – Redirecting via router compromise (OWASP)."
Drive Imaging Tool,"Drive Imaging Tool – Software for forensic copies, e.g., dd (NIST SP 800-86)."
Dual Control,"Dual Control – Requiring two persons for sensitive operations (NIST SP 800-57)."
Dump,"Dump – Extraction of memory or file contents for analysis (NIST SP 800-86)."
Dynamic Link Library (DLL) Hijacking,"Dynamic Link Library (DLL) Hijacking – Exploiting DLL loading for code execution (MITRE ATT&CK T1574)."
Dynamic Risk Assessment,"Dynamic Risk Assessment – Real-time evaluation of changing risks (ISO/IEC 27005)."
EAL (Evaluation Assurance Level),"EAL (Evaluation Assurance Level) – Rigorous testing level in Common Criteria (ISO/IEC 15408)."
Eavesdropping Attack,"Eavesdropping Attack – Passive listening to communications (RFC 4949)."
Edge Security,"Edge Security – Protecting network edges like gateways (NIST)."
Electronic Discovery Reference Model (EDRM),"Electronic Discovery Reference Model (EDRM) – Framework for e-discovery (FRCP)."
Elliptic Curve Digital Signature Algorithm (ECDSA),"Elliptic Curve Digital Signature Algorithm (ECDSA) – ECC-based signatures (FIPS 186)."
Email Authentication,"Email Authentication – Protocols like SPF to verify senders (RFC 7208)."
Embedded System Security,"Embedded System Security – Protecting IoT and firmware (NIST IR 8228)."
Encryption Key Management System (EKMS),"Encryption Key Management System (EKMS) – System for key lifecycle (NIST SP 800-57)."
Endpoint Privilege Manager,"Endpoint Privilege Manager – Tool limiting admin rights (NIST SP 800-53)."
Endpoint Protection Platform (EPP),"Endpoint Protection Platform (EPP) – Integrated AV and firewall for endpoints (NIST)."
Enterprise Mobility Management (EMM),"Enterprise Mobility Management (EMM) – Managing mobile devices and apps (NIST SP 800-124)."
Entity Authentication,"Entity Authentication – Verifying the identity of entities (NIST SP 800-63)."
Evidence Preservation,"Evidence Preservation – Maintaining integrity of digital evidence (NIST SP 800-86)."
Exclusive Use,"Exclusive Use – Sole access to a resource without sharing (NIST SP 800-53)."
Exfiltration Tunnel,"Exfiltration Tunnel – Covert channel for data theft (MITRE ATT&CK TA0010)."
Extended Access List,"Extended Access List – ACL with detailed traffic matching (Cisco)."
Failover,"Failover – Automatic switch to backup system (NIST SP 800-34)."
False Alarm,"False Alarm – Alert without actual threat (NIST SP 800-94)."
Federated Search,"Federated Search – Querying multiple data sources as one (NIST)."
Federation Services,"Federation Services – Enabling trust across domains (SAML)."
File Allocation,"File Allocation – Assigning disk space to files (NIST SP 800-86)."
File Carving Software,"File Carving Software – Tools extracting files from raw data (NIST SP 800-86)."
File Header Analysis,"File Header Analysis – Examining file signatures for type identification (SWGDE)."
File Integrity Check,"File Integrity Check – Verifying files against hashes (NIST SP 800-53)."
Fileless Attack,"Fileless Attack – Malware running without disk files (SANS)."
File System Journaling,"File System Journaling – Logging changes to prevent corruption (NIST)."
Firewall Rule,"Firewall Rule – Policy defining allowed/blocked traffic (NIST SP 800-41)."
Firmware Security,"Firmware Security – Protecting device firmware from tampering (NIST SP 800-193)."
Forensic Acquisition,"Forensic Acquisition – Creating verifiable copies of evidence (NIST SP 800-86)."
Forensic Analysis,"Forensic Analysis – Detailed examination of evidence (NIST SP 800-86)."
Forensic Imaging Tool,"Forensic Imaging Tool – Software for bit-stream images (NIST SP 800-86)."
Forensic Readiness,"Forensic Readiness – Preparing systems for investigations (NIST SP 800-86)."
Forensic Soundness,"Forensic Soundness – Ensuring evidence admissibility (NIST SP 800-86)."
Format String Vulnerability,"Format String Vulnerability – Input flaws leading to memory corruption (CWE-134)."
Forward Compatibility,"Forward Compatibility – New systems handling old data (NIST)."
Full Disclosure,"Full Disclosure – Public release of vulnerability details (OWASP)."
Full Disk Encryption Key,"Full Disk Encryption Key – Master key for FDE (NIST SP 800-111)."
Functional Testing,"Functional Testing – Verifying system features work securely (NIST SP 800-115)."
Fuzz Testing,"Fuzz Testing – Inputting malformed data to find crashes (OWASP)."
Gateway Antivirus,"Gateway Antivirus – Scanning traffic at network entry (NIST SP 800-83)."
Generalized Audit Software,"Generalized Audit Software – Tools for data extraction in audits (NIST)."
Geolocation Spoofing,"Geolocation Spoofing – Faking location data (OWASP)."
Global Platform,"Global Platform – Standard for secure chip cards (GlobalPlatform)."
Golden Image,"Golden Image – Secure baseline VM template (NIST SP 800-125)."
Governance Framework,"Governance Framework – Structure for security oversight (ISO/IEC 27001)."
Grayware,"Grayware – Software with potentially unwanted behavior (NIST)."
Group-Based Policy,"Group-Based Policy – Access based on user groups (NIST SP 800-53)."
Guideline for Secure Use,"Guideline for Secure Use – Recommendations for technology use (ISO/IEC 27002)."
Hardened Configuration,"Hardened Configuration – Secure system setup (NIST SP 800-123)."
Hash Function,"Hash Function – One-way mapping to fixed output (FIPS 180-4)."
Hash Table Attack,"Hash Table Attack – Exploiting collisions in hashing (NIST)."
Header Checksum,"Header Checksum – Integrity check for protocol headers (RFC 793)."
Health Check,"Health Check – Monitoring system status (NIST)."
High-Side Network,"High-Side Network – Secure network for classified data (NIST)."
Honeynet Project,"Honeynet Project – Research on attacker behaviors (Honeynet)."
Honeypot Detection,"Honeypot Detection – Identifying decoy systems (NIST SP 800-83)."
Host Firewall,"Host Firewall – Software firewall on endpoints (NIST SP 800-41)."
Host Hardening,"Host Hardening – Securing individual hosts (NIST SP 800-123)."
Host Intrusion Prevention,"Host Intrusion Prevention – Blocking threats on hosts (NIST SP 800-94)."
Hot Site,"Hot Site – Fully equipped backup facility (NIST SP 800-34)."
Hybrid Encryption,"Hybrid Encryption – Combining symmetric and asymmetric (NIST SP 800-57)."
Hypervisor Security,"Hypervisor Security – Protecting virtualization layer (NIST SP 800-125)."
Identity Federation,"Identity Federation – Sharing identities across organizations (NIST SP 800-63C)."
Identity Proofing,"Identity Proofing – Verifying real-world identity (NIST SP 800-63)."
Identity Theft Insurance,"Identity Theft Insurance – Coverage for ID theft recovery (NIST)."
IEEE 802.11 Security,"IEEE 802.11 Security – Wireless LAN security protocols (IEEE 802.11i)."
Image Metadata,"Image Metadata – EXIF data in images (SWGDE)."
Impersonation Attack,"Impersonation Attack – Pretending to be another user (MITRE ATT&CK)."
Incident Categorization,"Incident Categorization – Classifying incidents by type (NIST SP 800-61)."
Incident Command System (ICS),"Incident Command System (ICS) – Framework for response coordination (NIST SP 800-61)."
Incident Containment,"Incident Containment – Isolating affected systems (NIST SP 800-61)."
Incident Eradication,"Incident Eradication – Removing root cause (NIST SP 800-61)."
Incident Recovery,"Incident Recovery – Restoring operations (NIST SP 800-61)."
Indicator of Attack (IOA),"Indicator of Attack (IOA) – Signs of ongoing attack (MITRE)."
Industrial Control System Security,"Industrial Control System Security – Protecting ICS/SCADA (NIST SP 800-82)."
Information Flow Control,"Information Flow Control – Regulating data movement (NIST SP 800-53)."
Information Leak Prevention,"Information Leak Prevention – Tools blocking leaks (NIST SP 800-53)."
Information Rights,"Information Rights – Legal rights over data (NIST SP 800-122)."
Information Security Audit,"Information Security Audit – Independent review of ISMS (ISO/IEC 27001)."
Information Security Governance,"Information Security Governance – Strategic direction for security (ISO/IEC 27001)."
Information Security Incident,"Information Security Incident – Event compromising CIA (ISO/IEC 27000)."
Information Security Policy,"Information Security Policy – High-level security directives (ISO/IEC 27001)."
Information Security Risk,"Information Security Risk – Potential impact on CIA (ISO/IEC 27005)."
Information Sharing and Analysis Center (ISAC),"Information Sharing and Analysis Center (ISAC) – Sector threat sharing (NIST SP 800-150)."
Information Technology Infrastructure Library (ITIL),"Information Technology Infrastructure Library (ITIL) – Best practices for IT service management (ITIL)."
Infrastructure Security,"Infrastructure Security – Protecting physical and virtual infrastructure (NIST)."
Injection Flaw,"Injection Flaw – Vulnerability allowing malicious input execution (OWASP)."
Inline Inspection,"Inline Inspection – Real-time traffic analysis (NIST SP 800-94)."
Insider Risk,"Insider Risk – Threats from internal actors (NIST SP 800-53)."
Integrity Model,"Integrity Model – Framework ensuring data accuracy (NIST IR 7298)."
Intelligent Electronic Device (IED),"Intelligent Electronic Device (IED) – Device with cyber capabilities in substations (IEEE 1686)."
Interactive Voice Response (IVR) Phishing,"Interactive Voice Response (IVR) Phishing – Vishing using automated calls (NIST)."
Internal Threat,"Internal Threat – Risks from employees or contractors (NIST SP 800-53)."
International Organization for Standardization (ISO),"International Organization for Standardization (ISO) – Developer of ISO 27000 series (ISO)."
Internet Key Exchange (IKE),"Internet Key Exchange (IKE) – Protocol for IPsec key negotiation (RFC 7296)."
Internet Message Access Protocol (IMAP),"Internet Message Access Protocol (IMAP) – Email retrieval protocol (RFC 3501)."
Intrusion Detection as a Service,"Intrusion Detection as a Service – Cloud-based IDS (NIST)."
Intrusion Prevention Signature,"Intrusion Prevention Signature – Pattern for blocking threats (NIST SP 800-94)."
IP Camera Security,"IP Camera Security – Protecting surveillance cameras (NIST IR 8228)."
IP Geolocation,"IP Geolocation – Mapping IPs to locations (NIST)."
IPsec VPN,"IPsec VPN – Secure tunnel using IPsec (RFC 4301)."
IPv4 Exhaustion,"IPv4 Exhaustion – Depletion of IPv4 addresses (RFC 791)."
IPv6 Security,"IPv6 Security – Considerations for next-gen IP (RFC 8200)."
ISO 27001 Certification,"ISO 27001 Certification – Audit for ISMS compliance (ISO)."
ISO 27002 Controls,"ISO 27002 Controls – Best practices for security implementation (ISO)."
ISO 27005 Risk Management,"ISO 27005 Risk Management – Guidelines for risk assessment (ISO)."
IT Asset Management,"IT Asset Management – Lifecycle management of IT assets (ISO/IEC 27001)."
Java Secure Socket Extension (JSSE),"Java Secure Socket Extension (JSSE) – Java API for TLS (Oracle)."
Job Rotation,"Job Rotation – Rotating roles to reduce insider risks (NIST SP 800-53)."
John the Ripper Alternatives,"John the Ripper Alternatives – Tools like Hashcat for cracking (Open Source)."
JSON Web Token (JWT),"JSON Web Token (JWT) – Compact token for secure info exchange (RFC 7519)."
JTAG Forensics,"JTAG Forensics – Using JTAG ports for device extraction (SWGDE)."
JWT Security,"JWT Security – Best practices for token handling (OWASP)."
Kerberos Delegation,"Kerberos Delegation – Allowing services to impersonate users (RFC 4120)."
Key Derivation Function (KDF),"Key Derivation Function (KDF) – Generating keys from passwords (NIST SP 800-132)."
Key Distribution Center (KDC),"Key Distribution Center (KDC) – Server issuing Kerberos tickets (RFC 4120)."
Key Escrow Agent,"Key Escrow Agent – Trusted party holding keys (NIST)."
Key Generation,"Key Generation – Creating secure random keys (NIST SP 800-57)."
Key Ring,"Key Ring – Collection of keys for a user (NIST SP 800-57)."
Key Rotation,"Key Rotation – Periodic replacement of keys (NIST SP 800-57)."
Key Usage,"Key Usage – Defining key purposes in certificates (RFC 5280)."
Keystroke Logging Prevention,"Keystroke Logging Prevention – Obfuscating input (NIST)."
Kill Switch,"Kill Switch – Mechanism to disable malware remotely (SANS)."
Known Good,"Known Good – Baseline of trusted configurations (NIST SP 800-128)."
Known Vulnerable,"Known Vulnerable – Systems with unpatched flaws (NIST SP 800-40)."
Label,"Label – Security classification on data (NIST SP 800-53)."
Labeled Security Protection Profile,"Labeled Security Protection Profile – Common Criteria for mandatory access (ISO/IEC 15408)."
LAMP Stack Security,"LAMP Stack Security – Securing Linux/Apache/MySQL/PHP (OWASP)."
LAN Security,"LAN Security – Protecting local networks (NIST SP 800-48)."
Lateral Connection,"Lateral Connection – Moving between systems in a network (MITRE ATT&CK)."
Layer 2 Security,"Layer 2 Security – Protecting data link layer (IEEE 802.1X)."
Layer 3 Switch Security,"Layer 3 Switch Security – Routing device protections (NIST)."
Layered Defense,"Layered Defense – Multiple controls for redundancy (NIST)."
Least Privilege Principle,"Least Privilege Principle – Minimal access needed (NIST SP 800-53)."
Legal Compliance,"Legal Compliance – Adhering to laws like GDPR (ISO/IEC 27001)."
Live Acquisition,"Live Acquisition – Capturing volatile data from running systems (NIST SP 800-86)."
Live CD Forensics,"Live CD Forensics – Bootable tools for analysis (NIST SP 800-86)."
Load Balancer Security,"Load Balancer Security – Protecting traffic distribution (NIST)."
Local Admin Rights,"Local Admin Rights – Elevated privileges on endpoints (NIST SP 800-53)."
Local Security Policy,"Local Security Policy – Settings for individual systems (NIST SP 800-53)."
Logic Flaw,"Logic Flaw – Design error leading to vulnerabilities (OWASP)."
Log Correlation,"Log Correlation – Linking events across sources (NIST SP 800-92)."
Log Retention,"Log Retention – Storing logs for compliance (NIST SP 800-92)."
Logging Agent,"Logging Agent – Software collecting logs (NIST SP 800-92)."
Low-Side Network,"Low-Side Network – Less secure network (NIST)."
MAC Flooding,"MAC Flooding – Overwhelming switch CAM table (OWASP)."
MACSec,"MACSec – IEEE standard for link-layer security (IEEE 802.1AE)."
Machine Learning in Security,"Machine Learning in Security – AI for threat detection (NIST)."
Mandatory Integrity Control,"Mandatory Integrity Control – System-enforced integrity (NIST SP 800-53)."
Man-in-the-Cache,"Man-in-the-Cache – Attack on caching proxies (OWASP)."
Manual Penetration Testing,"Manual Penetration Testing – Human-led vuln assessment (NIST SP 800-115)."
Mass Assignment Vulnerability,"Mass Assignment Vulnerability – Binding user input to models insecurely (OWASP)."
Master Key,"Master Key – Top-level key in hierarchy (NIST SP 800-57)."
Matrix,"Matrix – ATT&CK structure for TTPs (MITRE)."
Mean Time to Detect (MTTD),"Mean Time to Detect (MTTD) – Average time to identify incidents (SANS)."
Mean Time to Respond (MTTR),"Mean Time to Respond (MTTR) – Average response time (SANS)."
Media Access Control (MAC),"Media Access Control (MAC) – Layer 2 addressing (IEEE 802)."
Memory Dump Analysis,"Memory Dump Analysis – Examining RAM dumps for evidence (NIST SP 800-86)."
Memory Injection,"Memory Injection – Inserting code into processes (MITRE ATT&CK)."
Memory Protection,"Memory Protection – Preventing unauthorized access to memory (NIST)."
Message Authentication Code (MAC),"Message Authentication Code (MAC) – Tag verifying integrity (NIST SP 800-57)."
Metric,"Metric – Measurable indicator of security performance (ISO/IEC 27004)."
Microsegmentation,"Microsegmentation – Granular network segmentation (NIST)."
Minimum Viable Product (MVP) Security,"Minimum Viable Product (MVP) Security – Basic security in early development (OWASP)."
Mobile Application Security,"Mobile Application Security – Protecting apps on devices (OWASP Mobile Top 10)."
Mobile Device Forensics,"Mobile Device Forensics – Extracting data from phones (NIST SP 800-86)."
Mobile Threat Defense (MTD),"Mobile Threat Defense (MTD) – Security for mobile endpoints (NIST SP 800-124)."
Modular Monolith,"Modular Monolith – Single app with modules for security (OWASP)."
Monitoring,"Monitoring – Continuous observation for threats (NIST SP 800-137)."
Multi-Tenancy,"Multi-Tenancy – Shared infrastructure for multiple users (NIST SP 800-146)."
Multifactor Authentication Device,"Multifactor Authentication Device – Hardware token for MFA (NIST SP 800-63B)."
Mutual Authentication,"Mutual Authentication – Both parties verifying each other (NIST SP 800-63)."
NAC Appliance,"NAC Appliance – Hardware for network access control (NIST)."
National Institute of Standards and Technology (NIST),"National Institute of Standards and Technology (NIST) – US agency for standards (NIST)."
Native Format,"Native Format – Original data format for forensics (NIST SP 800-86)."
Near Real-Time,"Near Real-Time – Low-latency monitoring (NIST SP 800-137)."
Need-to-Know,"Need-to-Know – Access based on job requirements (NIST SP 800-53)."
Network Access Server (NAS),"Network Access Server (NAS) – Device for user access (RFC 2865)."
Network Address Allocation,"Network Address Allocation – Assigning IPs securely (RFC 2131)."
Network Behavior Analysis (NBA),"Network Behavior Analysis (NBA) – Detecting anomalies in traffic (NIST SP 800-94)."
Network Device,"Network Device – Hardware like routers and switches (NIST)."
Network Discovery,"Network Discovery – Mapping network topology (Nmap)."
Network Encryption,"Network Encryption – Securing data in transit (NIST SP 800-77)."
Network Forensics Tool,"Network Forensics Tool – Capturing and analyzing traffic (NIST SP 800-86)."
Network Intrusion Correlation,"Network Intrusion Correlation – Linking alerts across sensors (NIST SP 800-94)."
Network Layer Security,"Network Layer Security – IPsec for layer 3 (RFC 4301)."
Network Mapping,"Network Mapping – Visualizing network structure (Nmap)."
Network Perimeter,"Network Perimeter – Boundary between trusted and untrusted networks (NIST SP 800-41)."
Network Protocol Analyzer,"Network Protocol Analyzer – Tool like Wireshark for packet dissection (NIST)."
Network Security Group (NSG),"Network Security Group (NSG) – Virtual firewall in cloud (NIST SP 800-146)."
Network Security Monitoring (NSM),"Network Security Monitoring (NSM) – Continuous traffic analysis (SANS)."
Network Tap,"Network Tap – Passive device for traffic mirroring (NIST)."
Non-Disclosure Agreement (NDA),"Non-Disclosure Agreement (NDA) – Contract for confidentiality (NIST SP 800-53)."
Non-Interference,"Non-Interference – High-security subjects not affecting low ones (NIST IR 7298)."
Non-Repudiation Service,"Non-Repudiation Service – Proving actions cannot be denied (ISO/IEC 27000)."
Normalization,"Normalization – Standardizing data for analysis (NIST SP 800-92)."
Notarization,"Notarization – Third-party verification of signatures (NIST)."
OAuth Scope,"OAuth Scope – Permissions defined for access tokens (RFC 6749)."
Object Reuse,"Object Reuse – Clearing storage before reuse (NIST SP 800-88)."
Off-Site Storage,"Off-Site Storage – Backup location away from primary site (NIST SP 800-34)."
One-Time Pad,"One-Time Pad – Unbreakable encryption with random key (NIST SP 800-57)."
One-Way Function,"One-Way Function – Easy to compute but hard to reverse, like hash (NIST SP 800-57)."
Online Certificate Status Protocol (OCSP),"Online Certificate Status Protocol (OCSP) – Checking cert revocation (RFC 6960)."
Open Shortest Path First (OSPF),"Open Shortest Path First (OSPF) – Routing protocol with security extensions (RFC 2328)."
Open Systems Interconnection (OSI) Model,"Open Systems Interconnection (OSI) Model – 7-layer network model (ISO/IEC 7498-1)."
OpenID Connect,"OpenID Connect – Identity layer on OAuth 2.0 (OpenID)."
Operational Security (OPSEC),"Operational Security (OPSEC) – Protecting critical info (NIST SP 800-55)."
Operations Security,"Operations Security – Identifying and controlling sensitive activities (NIST)."
Optical Character Recognition (OCR) Forensics,"Optical Character Recognition (OCR) Forensics – Extracting text from images (SWGDE)."
Organizationally Defined Parameters,"Organizationally Defined Parameters – Customizable controls in standards (NIST SP 800-53)."
Origin Validation,"Origin Validation – Verifying source of traffic (RFC 3704)."
Out-of-Band Communication,"Out-of-Band Communication – Separate channel for security (NIST)."
Over-the-Air (OTA) Update,"Over-the-Air (OTA) Update – Wireless firmware delivery (NIST IR 8228)."
Packet Filtering,"Packet Filtering – Basic firewall function (NIST SP 800-41)."
Packet Loss,"Packet Loss – Dropped packets affecting availability (NIST SP 800-61)."
Pairwise Key,"Pairwise Key – Unique key between two entities (IEEE 802.11)."
PAM Module,"PAM Module – Pluggable authentication in Unix (Linux PAM)."
Parallel Processing,"Parallel Processing – Distributing computation for security tasks (NIST)."
Password Authenticated Key Exchange (PAKE),"Password Authenticated Key Exchange (PAKE) – Secure key derivation from passwords (RFC 2945)."
Password Complexity,"Password Complexity – Requirements for strong passwords (NIST SP 800-63B)."
Password Expiration,"Password Expiration – Periodic change of passwords (NIST SP 800-63B)."
Password Hashing,"Password Hashing – Storing passwords as hashes (NIST SP 800-63B)."
Passwordless Authentication,"Passwordless Authentication – Using biometrics or tokens instead of passwords (NIST SP 800-63B)."
Patch Tuesday,"Patch Tuesday – Microsoft's monthly update release (Microsoft)."
Path Traversal,"Path Traversal – Directory traversal vulnerability (OWASP)."
Payment Card Industry Data Security Standard (PCI DSS),"Payment Card Industry Data Security Standard (PCI DSS) – Standard for card data protection (PCI SSC)."
Peer-to-Peer (P2P) Security,"Peer-to-Peer (P2P) Security – Protecting decentralized networks (NIST)."
Penetration Test Report,"Penetration Test Report – Documentation of findings and recommendations (NIST SP 800-115)."
Performance Metric,"Performance Metric – KPIs for security effectiveness (ISO/IEC 27004)."
Personal Firewall,"Personal Firewall – Software on user devices (NIST SP 800-41)."
Personal Information,"Personal Information – Data identifying individuals (NIST SP 800-122)."
Personally Identifiable Information (PII) Protection,"Personally Identifiable Information (PII) Protection – Safeguards for personal data (NIST SP 800-122)."
Pharming Kit,"Pharming Kit – Tools for DNS poisoning (OWASP)."
Phishing Kit,"Phishing Kit – Pre-built tools for phishing campaigns (NIST)."
Physical Access Control,"Physical Access Control – Doors, badges for facilities (ISO/IEC 27002)."
Physical Layer Security,"Physical Layer Security – Protecting cabling and signals (IEEE)."
Physical Token,"Physical Token – Hardware for authentication (NIST SP 800-63B)."
Piggybacking,"Piggybacking – Unauthorized access following authorized user (SANS)."
PIN Entry Device (PED),"PIN Entry Device (PED) – Secure keypad for PINs (NIST SP 800-111)."
PKCS #11,"PKCS #11 – Standard for crypto tokens (RSA Laboratories)."
PKCS #12,"PKCS #12 – Format for certificates and keys (RFC 7292)."
Platform as a Service (PaaS),"Platform as a Service (PaaS) – Cloud for app development (NIST SP 800-146)."
Platform Security,"Platform Security – Protecting OS and hardware (NIST)."
Policy as Code,"Policy as Code – Defining policies in code for automation (SANS)."
Policy Enforcement Point,"Policy Enforcement Point – Device applying policies (NIST SP 800-53)."
Port Knocking,"Port Knocking – Sequence to open ports dynamically (SANS)."
Post-Quantum Cryptography,"Post-Quantum Cryptography – Algorithms resistant to quantum attacks (NIST)."
PowerShell Security,"PowerShell Security – Hardening scripting environment (Microsoft)."
Pre-Shared Key (PSK),"Pre-Shared Key (PSK) – Symmetric key shared beforehand (RFC 4306)."
Pretty Good Privacy (PGP),"Pretty Good Privacy (PGP) – Email encryption standard (RFC 4880)."
Principle of Least Privilege,"Principle of Least Privilege – Minimal rights needed (NIST SP 800-53)."
Privacy by Design,"Privacy by Design – Embedding privacy in system design (NIST SP 800-53)."
Privacy-Enhancing Technology,"Privacy-Enhancing Technology – Tools like homomorphic encryption (NIST)."
Private Cloud,"Private Cloud – Dedicated cloud infrastructure (NIST SP 800-146)."
Private Key,"Private Key – Secret key in asymmetric crypto (NIST SP 800-57)."
Private PKI,"Private PKI – Internal certificate authority (NIST)."
Privilege Account,"Privilege Account – High-access user account (NIST SP 800-53)."
Privileged User,"Privileged User – User with elevated rights (NIST SP 800-53)."
Probabilistic Risk Assessment,"Probabilistic Risk Assessment – Quantitative risk modeling (ISO/IEC 27005)."
Process Isolation,"Process Isolation – Separating processes in memory (NIST)."
Procure-to-Pay (P2P),"Procure-to-Pay (P2P) – Secure procurement processes (NIST)."
Production Environment,"Production Environment – Live systems handling real data (NIST)."
Profile,"Profile – User or system configuration template (NIST SP 800-53)."
Protected Health Information (PHI),"Protected Health Information (PHI) – Health data under HIPAA (HIPAA)."
Protocol Anomaly,"Protocol Anomaly – Deviations from standard protocols (NIST SP 800-94)."
Protocol Fuzzing,"Protocol Fuzzing – Testing protocols with malformed inputs (OWASP)."
Proxy Auto-Configuration (PAC),"Proxy Auto-Configuration (PAC) – Script for proxy settings (RFC 7605)."
Proxy Server Security,"Proxy Server Security – Hardening web proxies (NIST SP 800-41)."
Public Cloud,"Public Cloud – Shared cloud services (NIST SP 800-146)."
Public Key,"Public Key – Open key in asymmetric crypto (NIST SP 800-57)."
Public Key Infrastructure (PKI),"Public Key Infrastructure (PKI) – System for managing certificates (NIST SP 800-57)."
Pull Communication,"Pull Communication – Clients requesting updates (NIST)."
Push Authentication,"Push Authentication – Notifications for MFA (NIST SP 800-63B)."
Quantum Key Distribution (QKD),"Quantum Key Distribution (QKD) – Secure key exchange using quantum physics (NIST)."
Quantum-Resistant Algorithm,"Quantum-Resistant Algorithm – Crypto safe from quantum computers (NIST)."
Query Injection,"Query Injection – Malicious input in database queries (OWASP)."
Ransomware Defense,"Ransomware Defense – Backups and detection strategies (NIST)."
Rapid Application Development (RAD),"Rapid Application Development (RAD) – Fast dev with security risks (OWASP)."
Rate Limiting,"Rate Limiting – Throttling requests to prevent abuse (OWASP)."
Read-Only Memory (ROM),"Read-Only Memory (ROM) – Non-volatile storage for firmware (NIST)."
Real-Time Monitoring,"Real-Time Monitoring – Immediate threat detection (NIST SP 800-137)."
Recovery Point Objective (RPO),"Recovery Point Objective (RPO) – Max data loss acceptable (NIST SP 800-34)."
Recovery Time Objective (RTO),"Recovery Time Objective (RTO) – Max downtime acceptable (NIST SP 800-34)."
Red Team Exercise,"Red Team Exercise – Simulated attacks (SANS)."
Reference Monitor,"Reference Monitor – Abstract machine enforcing access control (NIST SP 800-53)."
Referrer Header,"Referrer Header – HTTP field leaking info (OWASP)."
Regional Internet Registry (RIR),"Regional Internet Registry (RIR) – Managing IP allocations (IANA)."
Registry Key,"Registry Key – Entry in Windows registry (NIST SP 800-86)."
Remote Attestation,"Remote Attestation – Verifying remote system integrity (NIST SP 800-193)."
Remote Desktop Protocol (RDP) Security,"Remote Desktop Protocol (RDP) Security – Securing remote access (Microsoft)."
Remote Procedure Call (RPC),"Remote Procedure Call (RPC) – Cross-system function calls (NIST)."
Remote Wipe,"Remote Wipe – Erasing data on lost devices (NIST SP 800-124)."
Removable Media,"Removable Media – USB drives, etc., with encryption requirements (NIST SP 800-111)."
Replication,"Replication – Copying data for redundancy (NIST SP 800-53)."
